person,personLabel,positionLabel,arTitle,enTitle,image
http://www.wikidata.org/entity/Q261687,Jacqueline de Romilly,رئيس,,Jacqueline de Romilly,http://commons.wikimedia.org/wiki/Special:FilePath/Jacqueline%20David%20%28laur%C3%A9ate%20du%20Concours%20g%C3%A9n%C3%A9ral%29%20-%20btv1b53231538r.jpg
http://www.wikidata.org/entity/Q261687,Jacqueline de Romilly,رئيس,,Jacqueline de Romilly,http://commons.wikimedia.org/wiki/Special:FilePath/Jacqueline%20David%20%28laur%C3%A9ate%20du%20Concours%20g%C3%A9n%C3%A9ral%29%20-%20btv1b53231538r.jpg
http://www.wikidata.org/entity/Q263659,Jean-Claude Pecker,رئيس,,Jean-Claude Pecker,http://commons.wikimedia.org/wiki/Special:FilePath/JeanClaudePecker1970.jpg
http://www.wikidata.org/entity/Q263659,Jean-Claude Pecker,رئيس,,Jean-Claude Pecker,http://commons.wikimedia.org/wiki/Special:FilePath/JeanClaudePecker1970.jpg
http://www.wikidata.org/entity/Q264283,جينيفر إيغان,رئيس,جينيفر إيغان,Jennifer Egan,http://commons.wikimedia.org/wiki/Special:FilePath/Jennifer%20Egan%20by%20David%20Shankbone.jpg
http://www.wikidata.org/entity/Q264283,جينيفر إيغان,رئيس,جينيفر إيغان,Jennifer Egan,http://commons.wikimedia.org/wiki/Special:FilePath/Jennifer%20Egan%20Occupy%20Wall%20Street%202011%20Shankbone.JPG
http://www.wikidata.org/entity/Q264766,تيريزا ماي,رئيس وزراء المملكة المتحدة,تيريزا ماي,Theresa May,http://commons.wikimedia.org/wiki/Special:FilePath/Official%20portrait%20of%20Baroness%20May%20of%20Maidenhead%20crop%202.jpg
http://www.wikidata.org/entity/Q704893,جون بيتس كلارك,رئيس,جون بيتس كلارك,John Bates Clark,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Bates%20Clark.jpg
http://www.wikidata.org/entity/Q706078,Marc Augé,رئيس,,Marc Augé,http://commons.wikimedia.org/wiki/Special:FilePath/Marc%20Aug%C3%A9.jpg
http://www.wikidata.org/entity/Q707171,خوسيه ماريا فيلاسكو ايبارا,رئيس,خوسيه ماريا فيلاسكو ايبارا,José María Velasco Ibarra,http://commons.wikimedia.org/wiki/Special:FilePath/Jos%C3%A9%20Mar%C3%ADa%20Velasco%20Ibarra.jpg
http://www.wikidata.org/entity/Q708736,Michel Wieviorka,رئيس,,Michel Wieviorka,http://commons.wikimedia.org/wiki/Special:FilePath/W2441-TableRonde%20TraiteEsclavageRacisme%20MichelWieviorka%20Crop%206084.JPG
http://www.wikidata.org/entity/Q711542,René Rémond,رئيس,,René Rémond,
http://www.wikidata.org/entity/Q711542,René Rémond,رئيس,,René Rémond,
http://www.wikidata.org/entity/Q711542,René Rémond,رئيس,,René Rémond,
http://www.wikidata.org/entity/Q711542,René Rémond,رئيس,,René Rémond,
http://www.wikidata.org/entity/Q713222,جان كريستوف روفان,رئيس,جان كريستوف روفان,Jean-Christophe Rufin,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Christophe%20Rufin%20par%20Claude%20Truong-Ngoc%20octobre%202013.jpg
http://www.wikidata.org/entity/Q713235,جان لويس دوبريه,رئيس,,Jean-Louis Debré,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Louis%20Debr%C3%A9%202012.jpg
http://www.wikidata.org/entity/Q1096766,Claude Gauvard,رئيس,,Claude Gauvard,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Gauvard%20%282023%29.jpg
http://www.wikidata.org/entity/Q1096766,Claude Gauvard,رئيس,,Claude Gauvard,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Gauvard%20%282023%29.jpg
http://www.wikidata.org/entity/Q1101521,Bernard Pivot,رئيس,,Bernard Pivot,http://commons.wikimedia.org/wiki/Special:FilePath/Bernard%20Pivot.jpg
http://www.wikidata.org/entity/Q1110125,جياني بيتروتشي,رئيس,جياني بيتروتشي,Gianni Petrucci,http://commons.wikimedia.org/wiki/Special:FilePath/Gianni%20Petrucci%20%282010%29.jpg
http://www.wikidata.org/entity/Q1116827,ماري روي,رئيس,,Marie-Françoise Roy,http://commons.wikimedia.org/wiki/Special:FilePath/Marie-Francoise%20Roy.jpg
http://www.wikidata.org/entity/Q1150229,سيدريك خان,رئيس,سيدريك خان,Cédric Kahn,http://commons.wikimedia.org/wiki/Special:FilePath/C%C3%A9dric%20Kahn%202012.jpg
http://www.wikidata.org/entity/Q1151126,نيكولاس جريمال,رئيس,نيكولاس جريمال,Nicolas Grimal,
http://www.wikidata.org/entity/Q1155636,كين ليفين,رئيس,كين ليفين,Ken Levine (game developer),http://commons.wikimedia.org/wiki/Special:FilePath/Ken%20Levine%202014%20GDC%20cropped.jpg
http://www.wikidata.org/entity/Q1191554,كارلوس آرثر نوزمان,رئيس,كارلوس آرثر نوزمان,Carlos Nuzman,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Arthur%20Nuzman.jpg
http://www.wikidata.org/entity/Q1191554,كارلوس آرثر نوزمان,رئيس,كارلوس آرثر نوزمان,Carlos Nuzman,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Arthur%20Nuzman.jpg
http://www.wikidata.org/entity/Q1191554,كارلوس آرثر نوزمان,رئيس,كارلوس آرثر نوزمان,Carlos Nuzman,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Arthur%20Nuzman.jpg
http://www.wikidata.org/entity/Q1191554,كارلوس آرثر نوزمان,رئيس,كارلوس آرثر نوزمان,Carlos Nuzman,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Arthur%20Nuzman.jpg
http://www.wikidata.org/entity/Q1215771,Yves Pouliquen,رئيس,,Yves Pouliquen,http://commons.wikimedia.org/wiki/Special:FilePath/YvesPouliquen2019.jpg
http://www.wikidata.org/entity/Q1215771,Yves Pouliquen,رئيس,,Yves Pouliquen,http://commons.wikimedia.org/wiki/Special:FilePath/YvesPouliquen2019.jpg
http://www.wikidata.org/entity/Q1215771,Yves Pouliquen,رئيس,,Yves Pouliquen,http://commons.wikimedia.org/wiki/Special:FilePath/YvesPouliquen2019.jpg
http://www.wikidata.org/entity/Q1222010,Dieter Graumann,رئيس,,Dieter Graumann,http://commons.wikimedia.org/wiki/Special:FilePath/Dieter%20Graumann.jpg
http://www.wikidata.org/entity/Q1227331,Frédéric Vitoux,رئيس,,Frédéric Vitoux (writer),http://commons.wikimedia.org/wiki/Special:FilePath/Fr%C3%A9d%C3%A9ric%20Vitoux%20%C3%A0%20Paris%20en%202023%20%282%29.jpg
http://www.wikidata.org/entity/Q1230574,Jean-Denis Bredin,رئيس,,Jean-Denis Bredin,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Denis%20Bredin.jpg
http://www.wikidata.org/entity/Q1235373,Marie-Dominique Chenu,رئيس,,Marie-Dominique Chenu,
http://www.wikidata.org/entity/Q85038,Carl Froelich,رئيس,,Carl Froelich,http://commons.wikimedia.org/wiki/Special:FilePath/Bundesarchiv%20N%201275%20Bild-184%2C%20Tonbildaufnahme%20mit%20Oskar%20Messter.jpg
http://www.wikidata.org/entity/Q85038,Carl Froelich,رئيس,,Carl Froelich,http://commons.wikimedia.org/wiki/Special:FilePath/Bundesarchiv%20N%201275%20Bild-184%2C%20Tonbildaufnahme%20mit%20Oskar%20Messter.jpg
http://www.wikidata.org/entity/Q86976,Hans Niessl,رئيس,,Hans Niessl,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Niessl.%202015.jpg
http://www.wikidata.org/entity/Q87859,Bert Isatitsch,رئيس,,Bert Isatitsch,
http://www.wikidata.org/entity/Q89408,Gottfried Haberler,رئيس,,Gottfried Haberler,
http://www.wikidata.org/entity/Q89408,Gottfried Haberler,رئيس,,Gottfried Haberler,
http://www.wikidata.org/entity/Q91541,جاكوب مارشاك,رئيس,,Jacob Marschak,
http://www.wikidata.org/entity/Q91541,جاكوب مارشاك,رئيس,,Jacob Marschak,
http://www.wikidata.org/entity/Q92854,جون هينيسي,رئيس,جون هينيسي,John L. Hennessy,http://commons.wikimedia.org/wiki/Special:FilePath/John%20L%20Hennessy.jpg
http://www.wikidata.org/entity/Q93833,شتيفان روزوتسكي,رئيس,شتيفان روزوتسكي,Stefan Ruzowitzky,http://commons.wikimedia.org/wiki/Special:FilePath/Stefan%20Ruzowitzky%20ROMY2008.jpg
http://www.wikidata.org/entity/Q100336,Klaus Kotter,رئيس,,Klaus Kotter,
http://www.wikidata.org/entity/Q101410,فرنسوا فيون,رئيس,فرنسوا فيون,François Fillon,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20Fillon%202010.jpg
http://www.wikidata.org/entity/Q102638,Uwe Bahnsen,رئيس,,Uwe Bahnsen,
http://www.wikidata.org/entity/Q103598,لوك مونتانييه,رئيس,لوك مونتانييه,Luc Montagnier,http://commons.wikimedia.org/wiki/Special:FilePath/Luc%20Montagnier-press%20conference%20Dec%2006th%2C%202008-1%20crop.jpg
http://www.wikidata.org/entity/Q268660,Fleur Pellerin,رئيس,,Fleur Pellerin,http://commons.wikimedia.org/wiki/Special:FilePath/FIBD%202015%20Fleur%20Pellerin.jpg
