person,personLabel,arTitle,image
http://www.wikidata.org/entity/Q477466,عمرو عزت سلامة,عمرو عزت سلامة,
http://www.wikidata.org/entity/Q482338,الناصر شهاب الدين أحمد,الناصر شهاب الدين أحمد,
http://www.wikidata.org/entity/Q486463,أنس الفقي,أنس الفقي,
http://www.wikidata.org/entity/Q500452,أحمد شديد قناوي,أحمد شديد قناوي,http://commons.wikimedia.org/wiki/Special:FilePath/Qinawy.png
http://www.wikidata.org/entity/Q501274,رامي ربيعة,رامي ربيعة,http://commons.wikimedia.org/wiki/Special:FilePath/RamiRabea2020.jpg
http://www.wikidata.org/entity/Q507454,علي الكف,علي الكف,http://commons.wikimedia.org/wiki/Special:FilePath/Ali%20El-Kaf.jpg
http://www.wikidata.org/entity/Q509354,محمود وجدي,محمود وجدي,
http://www.wikidata.org/entity/Q513269,منصور عيسوي,منصور عيسوي,http://commons.wikimedia.org/wiki/Special:FilePath/Mansour%20al%20Essawy%20Minister%20of%20Interior%20Egypt%20ARABIC.gif
http://www.wikidata.org/entity/Q515980,رضا حافظ,رضا حافظ,
http://www.wikidata.org/entity/Q523640,عصام الحضري,عصام الحضري,http://commons.wikimedia.org/wiki/Special:FilePath/Essam%20El-Hadary.jpg
http://www.wikidata.org/entity/Q537159,محمد العرابي,محمد العرابي,http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20Orabi.png
http://www.wikidata.org/entity/Q539171,داليدا,داليدا,http://commons.wikimedia.org/wiki/Special:FilePath/Dalida19673%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q539624,السيد البدوي شحاتة,السيد البدوي شحاتة,http://commons.wikimedia.org/wiki/Special:FilePath/El-Sayyid%20el-Badawi.jpg
http://www.wikidata.org/entity/Q541622,أليفة رفعت,أليفة رفعت,http://commons.wikimedia.org/wiki/Special:FilePath/Alifa%20Rifaat.jpg
http://www.wikidata.org/entity/Q542246,إسراء عبد الفتاح,إسراء عبد الفتاح (ناشطة سياسية),http://commons.wikimedia.org/wiki/Special:FilePath/Israa%20Abdel%20Fattah.jpg
http://www.wikidata.org/entity/Q734018,جمال الغيطاني,جمال الغيطاني,http://commons.wikimedia.org/wiki/Special:FilePath/Gamal%20Ghitany.jpg
http://www.wikidata.org/entity/Q735036,محمد حسنين هيكل,محمد حسنين هيكل,http://commons.wikimedia.org/wiki/Special:FilePath/Heikal%20in%201966.jpg
http://www.wikidata.org/entity/Q736571,حسن الهضيبي,حسن الهضيبي,http://commons.wikimedia.org/wiki/Special:FilePath/Hassan%20El-Hodabi.jpg
http://www.wikidata.org/entity/Q738935,محمود محيي الدين,محمود محيي الدين,http://commons.wikimedia.org/wiki/Special:FilePath/Mahmoud%20Mohieldin.png
http://www.wikidata.org/entity/Q750983,ريكآردو فريدا,ريكآردو فريدا,http://commons.wikimedia.org/wiki/Special:FilePath/Riccardo%20Freda%201958.png
http://www.wikidata.org/entity/Q755840,عاطف صدقي,عاطف صدقي,http://commons.wikimedia.org/wiki/Special:FilePath/Atef%20Sedki.JPG
http://www.wikidata.org/entity/Q764889,هالة البدري,هالة البدري,
http://www.wikidata.org/entity/Q2821000,عبد العزيز كامارا,عبد العزيز كامارا,
http://www.wikidata.org/entity/Q2827635,أحمد ولد بوسيف,أحمد ولد بوسيف,
http://www.wikidata.org/entity/Q2827638,أحمد ولد داداه,أحمد ولد داداه,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%A3%D8%AD%D9%85%D8%AF%20%D9%88%D9%84%D8%AF%20%D8%AF%D8%A7%D8%AF%D8%A7%D9%87%20%282021%29.jpg
http://www.wikidata.org/entity/Q2827663,أحمد سيديبي,أحمد سيديبي,
http://www.wikidata.org/entity/Q2840849,أمادو ألاسان,أمادو ألاسان,
http://www.wikidata.org/entity/Q2877629,با مامادو إمباري,با مامادو إمباري,
http://www.wikidata.org/entity/Q3028098,ديمي منت آبا,ديمي منت آبا,
http://www.wikidata.org/entity/Q3064704,محمد فال ولد عمير,محمد فال ولد عمير,
http://www.wikidata.org/entity/Q3098979,غاستون ديامي,غاستون ديامي,
http://www.wikidata.org/entity/Q3126304,حمادي ولد باب ولد حمادي,حمادي ولد باب ولد حمادي,http://commons.wikimedia.org/wiki/Special:FilePath/Mauritanian%20Foreign%20Minister%20Hamadi%20Ould%20Baba%20Ould%20Hamadi.jpg
http://www.wikidata.org/entity/Q166458,جمال البنا,جمال البنا,
http://www.wikidata.org/entity/Q168517,إسماعيل سراج الدين,إسماعيل سراج الدين,http://commons.wikimedia.org/wiki/Special:FilePath/Isma%C3%AFl%20Serageldin%2C%202016%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q170515,عمر الشريف,عمر الشريف,http://commons.wikimedia.org/wiki/Special:FilePath/Omar%20Sharif%201963.JPG
http://www.wikidata.org/entity/Q199846,كليمينت رافين,كليمينت رافين,http://commons.wikimedia.org/wiki/Special:FilePath/RaffiSpeaking.jpg
http://www.wikidata.org/entity/Q211379,سيد قطب,سيد قطب,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid%20Qutb.jpg
http://www.wikidata.org/entity/Q212190,جيهان السادات,جيهان السادات,http://commons.wikimedia.org/wiki/Special:FilePath/Jehan%20Sadat%201995.jpg
http://www.wikidata.org/entity/Q220296,أحمد نظيف,أحمد نظيف,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20Nazif%20IGF.JPG
http://www.wikidata.org/entity/Q223568,عمر سليمان,عمر سليمان,http://commons.wikimedia.org/wiki/Special:FilePath/Omar%20Suleiman%20070731-D-7203T-010%200WX8I.jpg
http://www.wikidata.org/entity/Q224359,عبد العزيز حجازي,عبد العزيز حجازي,http://commons.wikimedia.org/wiki/Special:FilePath/Abdel%20Aziz%20Hegazy.jpg
http://www.wikidata.org/entity/Q235896,نتاشا أطلس,نتاشا أطلس,http://commons.wikimedia.org/wiki/Special:FilePath/Natacha%20Atlas%202.jpg
http://www.wikidata.org/entity/Q235896,نتاشا أطلس,نتاشا أطلس,http://commons.wikimedia.org/wiki/Special:FilePath/Natacha%20Atlas%202.jpg
http://www.wikidata.org/entity/Q238514,نوال السعداوي,نوال السعداوي,http://commons.wikimedia.org/wiki/Special:FilePath/Nawal%20El%20Saadawi%2C%20April%202012%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q238514,نوال السعداوي,نوال السعداوي,http://commons.wikimedia.org/wiki/Special:FilePath/Nawal%20El%20Saadawi%2C%20April%202012%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q334703,أبو بكر خيرت,أبو بكر خيرت,
http://www.wikidata.org/entity/Q334821,أبو حمزة المهاجر,أبو حمزة المهاجر,
http://www.wikidata.org/entity/Q338708,أحمد الطيب,أحمد الطيب,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20el-Tayeb%201.jpg
http://www.wikidata.org/entity/Q345385,المختار ولد داداه,المختار ولد داداه,http://commons.wikimedia.org/wiki/Special:FilePath/Moktar%20Ould%20Daddah%20%28I-008025%2C%20cropped%29.jpg
http://www.wikidata.org/entity/Q349896,فيروز,فيروز (ممثلة),
http://www.wikidata.org/entity/Q349896,فيروز,فيروز (ممثلة),
