person,personLabel,arTitle,enTitle,image,source
http://www.wikidata.org/entity/Q3860128,محمد آل فتيل,محمد آل فتيل,Mohammed Al-Fatil,http://commons.wikimedia.org/wiki/Special:FilePath/AFC%20Elite%20League%20Western%2C%20Azadi%20Stadium%2C%20Persepolis%200-0%20Al%20Nassr%2C%2017%20February%202025%2C%20Mohammed%20Al-Fatil.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q3860135,محمد كرم,محمد كرم,Mohammed Karam,,GCC_public_figures
http://www.wikidata.org/entity/Q3860138,محمد ناصر,محمد ناصر (لاعب كرة قدم إماراتي),"Mohammed Nasser (footballer, born 1988)",,GCC_public_figures
http://www.wikidata.org/entity/Q3860139,محمد عمر,محمد عمر (لاعب كرة قدم إماراتي),"Mohammad Omar (footballer, born 1976)",,GCC_public_figures
http://www.wikidata.org/entity/Q3860136,محمد مال الله,محمد مال الله,Mohamed Malallah,,GCC_public_figures
http://www.wikidata.org/entity/Q3860137,محمد مرزوق,محمد مرزوق (لاعب كرة قدم إماراتي),Mohammed Marzooq,,GCC_public_figures
http://www.wikidata.org/entity/Q3860140,محمد قاسم,محمد قاسم (لاعب كرة قدم إماراتي),Mohammed Qassim,,GCC_public_figures
http://www.wikidata.org/entity/Q3866205,معتز هوساوي,معتز هوساوي,Motaz Hawsawi,http://commons.wikimedia.org/wiki/Special:FilePath/Motaz%20Hawsawi.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q3866863,مؤيد الحداد,مؤيد الحداد,Muayad Al-Haddad,,GCC_public_figures
http://www.wikidata.org/entity/Q3866866,مبارك مرزوق,مبارك مرزوق,Mubarak Marzouq,,GCC_public_figures
http://www.wikidata.org/entity/Q3866941,محمد بن سليمان الجاسر,محمد بن سليمان الجاسر,Muhammed Al-Jasser,http://commons.wikimedia.org/wiki/Special:FilePath/Al%20Jasser%20%28cropped%29.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q3870496,ناصر مسعود,ناصر مسعود,Nasser Masoud,,GCC_public_figures
http://www.wikidata.org/entity/Q3870515,ناصر خميس (لاعب كرة قدم مواليد 1987),ناصر خميس (لاعب كرة قدم مواليد 1987),Nasser Khamis,,GCC_public_figures
http://www.wikidata.org/entity/Q3870522,ناصر الغانم,ناصر الغانم,Nassir Al-Ghanem,,GCC_public_figures
http://www.wikidata.org/entity/Q4164469,محمد ربيع,محمد ربيع (لاعب كرة قدم عماني),Mohammed Rabia Al-Noobi,,GCC_public_figures
http://www.wikidata.org/entity/Q4164475,عبد الله المرزوقي,عبد الله المرزوقي (لاعب كرة قدم بحريني),Abdulla Al-Marzooqi,,GCC_public_figures
http://www.wikidata.org/entity/Q4164483,راشد الدوسري,راشد الدوسري,Rashid Al-Dosari,,GCC_public_figures
http://www.wikidata.org/entity/Q4164488,عبد الحسين عبد الرضا,عبد الحسين عبد الرضا,Abdulhussain Abdulredha,http://commons.wikimedia.org/wiki/Special:FilePath/Abdulhussain%20Abdulredha%202008.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q4164632,سلمان عيسى,سلمان عيسى,Salman Isa,,GCC_public_figures
http://www.wikidata.org/entity/Q4164920,خالد بن عبد الله بن عبد العزيز آل سعود,خالد بن عبد الله بن عبد العزيز آل سعود,Khalid bin Abdullah Al Saud (born 1950),,GCC_public_figures
http://www.wikidata.org/entity/Q4165378,طلال مداح,طلال مداح,Talal Maddah,,GCC_public_figures
http://www.wikidata.org/entity/Q4165378,طلال مداح,طلال مداح,Talal Maddah,,GCC_public_figures
http://www.wikidata.org/entity/Q4165546,عبد الله الفيصل,عبد الله الفيصل بن عبد العزيز آل سعود,Abdullah bin Faisal Al Saud (1923–2007),http://commons.wikimedia.org/wiki/Special:FilePath/Abdullah%20al%20Faisal%20%281966%29.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q4165651,تركي الفيصل,تركي الفيصل بن عبد العزيز آل سعود,Turki Al-Faisal,http://commons.wikimedia.org/wiki/Special:FilePath/Turki%20bin%20Faisal%20Al%20Saud%202014.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q277652,علاء حبيل,علاء حبيل,A'ala Hubail,http://commons.wikimedia.org/wiki/Special:FilePath/A%27ala%20Hubail.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q285371,الحسن اليامي,الحسن اليامي,Al-Hasan Al-Yami,,GCC_public_figures
http://www.wikidata.org/entity/Q296771,سعد الحريري,سعد الحريري,Saad Hariri,http://commons.wikimedia.org/wiki/Special:FilePath/Visit%20of%20Federica%20Mogherini%20to%20Lebanon%20-%20P039553-762713%20%28cropped%29.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q307187,عبد العزيز بن محمد آل سعود,عبد العزيز بن محمد آل سعود,Abdulaziz bin Muhammad Al Saud,,GCC_public_figures
http://www.wikidata.org/entity/Q307185,عبد العزيز بن عبد الله آل الشيخ,عبد العزيز بن عبد الله آل الشيخ,Abdulaziz Al Sheikh,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%8A%20%D8%B9%D8%A8%D8%AF%20%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2%20%D8%A2%D9%84%20%D8%A7%D9%84%D8%B4%D9%8A%D8%AE.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q307463,عبد الرحمن بن عبد العزيز آل سعود,عبد الرحمن بن عبد العزيز آل سعود,Abdul Rahman bin Abdulaziz Al Saud,,GCC_public_figures
http://www.wikidata.org/entity/Q307587,عبد الله بن سعود بن عبد العزيز بن محمد آل سعود,عبد الله بن سعود بن عبد العزيز بن محمد آل سعود,Abdullah bin Saud Al Saud,http://commons.wikimedia.org/wiki/Special:FilePath/Image-Abdullah%20bin%20Saud%20FSS2.JPG,GCC_public_figures
