person,personLabel,arTitle,enTitle,image
http://www.wikidata.org/entity/Q217194,جابر الأحمد الصباح,جابر الأحمد الصباح,Jaber Al-Ahmad Al-Sabah,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%AD%D8%B6%D8%B1%D8%A9%20%D8%B5%D8%A7%D8%AD%D8%A8%20%D8%A7%D9%84%D8%B3%D9%85%D9%88%20%D8%A7%D9%84%D8%B4%D9%8A%D8%AE%20%D8%AC%D8%A7%D8%A8%D8%B1%20%D8%A7%D9%84%D8%A3%D8%AD%D9%85%D8%AF%20%D8%A7%D9%84%D8%B5%D8%A8%D8%A7%D8%AD%20%D8%A3%D9%85%D9%8A%D8%B1%20%D8%AF%D9%88%D9%84%D8%A9%20%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA.jpg
http://www.wikidata.org/entity/Q238774,موزا المسند,موزا المسند,Moza bint Nasser,http://commons.wikimedia.org/wiki/Special:FilePath/Alliance%20of%20Civilizations%20Forum%20Annual%20Meeting%20Brazil%202010%20-%2016.jpg
http://www.wikidata.org/entity/Q244206,سعود بن عبد العزيز آل سعود,سعود بن عبد العزيز آل سعود,Saud of Saudi Arabia,http://commons.wikimedia.org/wiki/Special:FilePath/Saud%20IV%20of%20Saudi%20Arabia%20portrait.jpg
http://www.wikidata.org/entity/Q245852,رودريغو تاباتا,رودريغو تاباتا,Rodrigo Tabata,http://commons.wikimedia.org/wiki/Special:FilePath/Rodrigo%20Tabata%202012%201%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q253945,جاسم الهويدي,جاسم الهويدي,Jasem Al-Huwaidi,http://commons.wikimedia.org/wiki/Special:FilePath/Jasem%20Al%20Huwaidi.jpg
http://www.wikidata.org/entity/Q438721,يوسف سعد كامل,يوسف سعد كامل,Yusuf Saad Kamel,http://commons.wikimedia.org/wiki/Special:FilePath/Yusuf%20Saad%20Kamel%20Berlin%202009.JPG
http://www.wikidata.org/entity/Q442071,نور المالكي,نور المالكي,Noor Al-Malki,http://commons.wikimedia.org/wiki/Special:FilePath/Noor%20Al%20Malki.jpg
http://www.wikidata.org/entity/Q443605,كالكيدان جيزاهيجن,كالكيدان جيزاهيجن,Kalkidan Gezahegne,http://commons.wikimedia.org/wiki/Special:FilePath/Kalkidan%20Gezahegn%20Birmingham%20indoor%202010.jpg
http://www.wikidata.org/entity/Q445754,منال الشريف,منال الشريف,Manal al-Sharif,http://commons.wikimedia.org/wiki/Special:FilePath/Manal%20al-Shraif%20face%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q446181,ماجد عبد الله,ماجد عبد الله,Majed Abdullah,http://commons.wikimedia.org/wiki/Special:FilePath/Majed%20Abdullah%20in%201984.jpg
