person,personLabel,arTitle,image
http://www.wikidata.org/entity/Q307784,محمد عبد الخالق حسونة,محمد عبد الخالق حسونة,
http://www.wikidata.org/entity/Q307786,عبد الحليم حافظ,عبد الحليم حافظ,http://commons.wikimedia.org/wiki/Special:FilePath/Abdel%20Halim%20Hafez.jpg
http://www.wikidata.org/entity/Q307786,عبد الحليم حافظ,عبد الحليم حافظ,http://commons.wikimedia.org/wiki/Special:FilePath/Abdel%20Halim%20Hafez.jpg
http://www.wikidata.org/entity/Q307800,عبد المنعم أبو الفتوح,عبد المنعم أبو الفتوح,http://commons.wikimedia.org/wiki/Special:FilePath/Abdel%20Moneim%20Aboul%20Fotouh.jpg
http://www.wikidata.org/entity/Q307814,عبد الرحمن عزام,عبد الرحمن عزام,
http://www.wikidata.org/entity/Q307831,عبد الظاهر السقا,عبد الظاهر السقا,
http://www.wikidata.org/entity/Q307871,عبد الفتاح السيسي,عبد الفتاح السيسي,http://commons.wikimedia.org/wiki/Special:FilePath/AbdelFattah%20Elsisi%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q334134,سمير أمين,سمير أمين,http://commons.wikimedia.org/wiki/Special:FilePath/Samir%20Amin%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q334703,أبو بكر خيرت,أبو بكر خيرت,
http://www.wikidata.org/entity/Q334821,أبو حمزة المهاجر,أبو حمزة المهاجر,
http://www.wikidata.org/entity/Q338708,أحمد الطيب,أحمد الطيب,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20el-Tayeb%201.jpg
http://www.wikidata.org/entity/Q311789,إبراهيم محمد علي باشا,إبراهيم محمد علي باشا,http://commons.wikimedia.org/wiki/Special:FilePath/Ibrahim%20Pasha%2C%20Larivi%C3%A8re.jpg
http://www.wikidata.org/entity/Q312611,يوسف شاهين,يوسف شاهين,http://commons.wikimedia.org/wiki/Special:FilePath/Youssef%20Chahine%20in%20Cairo%201986.jpg
http://www.wikidata.org/entity/Q330939,فؤاد المهندس,فؤاد المهندس,http://commons.wikimedia.org/wiki/Special:FilePath/Fouad%20el-Mohandes.jpg
http://www.wikidata.org/entity/Q330939,فؤاد المهندس,فؤاد المهندس,http://commons.wikimedia.org/wiki/Special:FilePath/Fouad%20el-Mohandes.jpg
http://www.wikidata.org/entity/Q312823,وائل غنيم,وائل غنيم,http://commons.wikimedia.org/wiki/Special:FilePath/Wael%20ghonim.jpg
http://www.wikidata.org/entity/Q317257,عبد الحميد بدوي,عبد الحميد بدوي,http://commons.wikimedia.org/wiki/Special:FilePath/Abdel%20Hamid%20Badawi%201.jpg
http://www.wikidata.org/entity/Q328734,سعد زغلول,سعد زغلول,http://commons.wikimedia.org/wiki/Special:FilePath/ModernEgypt%2C%20Saad%20Zaghloul%2C%20BAP%2014785.jpg
http://www.wikidata.org/entity/Q328765,طه حسين,طه حسين,http://commons.wikimedia.org/wiki/Special:FilePath/TahaHussein.jpg
http://www.wikidata.org/entity/Q328765,طه حسين,طه حسين,http://commons.wikimedia.org/wiki/Special:FilePath/TahaHussein.jpg
http://www.wikidata.org/entity/Q28715219,عبد الحميد الزيداني,عبد الحميد الزيداني,
http://www.wikidata.org/entity/Q28715577,علي البسكي,علي البسكي,
http://www.wikidata.org/entity/Q392629,فتحية نكروما,فتحية نكروما,http://commons.wikimedia.org/wiki/Special:FilePath/Fathia%20Nkrumah%20with%20son%20Gamal.jpg
http://www.wikidata.org/entity/Q400602,أحمد بدوي,أحمد بدوي,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20Badawy.jpg
http://www.wikidata.org/entity/Q400643,أحمد فؤاد محيي الدين,أحمد فؤاد محيي الدين,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmad%20Fuad%20Mohieddin.jpg
http://www.wikidata.org/entity/Q401232,أحمد عز,أحمد عز (رجل أعمال),
http://www.wikidata.org/entity/Q401240,أحمد فتحي سرور,أحمد فتحي سرور,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmad%20Fathi%20Sorour.jpg
http://www.wikidata.org/entity/Q401372,أحمد ماهر,أحمد ماهر (سياسي),
http://www.wikidata.org/entity/Q401377,أحمد درويش,أحمد درويش,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20Darwish%20portrait%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q401474,أحمد صلاح حسني,أحمد صلاح حسني,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%A3%D8%AD%D9%85%D8%AF%20%D8%B5%D9%84%D8%A7%D8%AD%20%D8%AD%D8%B3%D9%86%D9%8A.png
http://www.wikidata.org/entity/Q401474,أحمد صلاح حسني,أحمد صلاح حسني,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%A3%D8%AD%D9%85%D8%AF%20%D8%B5%D9%84%D8%A7%D8%AD%20%D8%AD%D8%B3%D9%86%D9%8A.png
http://www.wikidata.org/entity/Q571707,محمد منير,محمد منير,http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20Mounir%2C%20b.jpg
http://www.wikidata.org/entity/Q571707,محمد منير,محمد منير,http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20Mounir%2C%20b.jpg
http://www.wikidata.org/entity/Q578145,شادي محمد,شادي محمد,
http://www.wikidata.org/entity/Q578416,سميرة سعيد,سميرة سعيد,http://commons.wikimedia.org/wiki/Special:FilePath/Beirut%20International%20Awards%20Festivals%20%28BIAF%29%20honored%20Samira%20Said%20in%202011.jpg
http://www.wikidata.org/entity/Q578416,سميرة سعيد,سميرة سعيد,http://commons.wikimedia.org/wiki/Special:FilePath/Beirut%20International%20Awards%20Festivals%20%28BIAF%29%20honored%20Samira%20Said%20in%202011.jpg
http://www.wikidata.org/entity/Q591801,أحمد حلمي,أحمد حلمي,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20Helmy%20in%20Sawiris%202018.jpg
http://www.wikidata.org/entity/Q593636,أحمد عدوية,أحمد عدوية,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20Adaweyah%2001.png
http://www.wikidata.org/entity/Q593636,أحمد عدوية,أحمد عدوية,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20Adaweyah%2001.png
http://www.wikidata.org/entity/Q600774,عماد متعب,عماد متعب,http://commons.wikimedia.org/wiki/Special:FilePath/Emad%20Moteab.jpg
http://www.wikidata.org/entity/Q602231,عمرو واكد,عمرو واكد,http://commons.wikimedia.org/wiki/Special:FilePath/Amr%20Waked%20at%202025%20Cannes%20Red%20Carpet%202.jpg
http://www.wikidata.org/entity/Q166458,جمال البنا,جمال البنا,
http://www.wikidata.org/entity/Q168517,إسماعيل سراج الدين,إسماعيل سراج الدين,http://commons.wikimedia.org/wiki/Special:FilePath/Isma%C3%AFl%20Serageldin%2C%202016%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q170515,عمر الشريف,عمر الشريف,http://commons.wikimedia.org/wiki/Special:FilePath/Omar%20Sharif%201963.JPG
http://www.wikidata.org/entity/Q425325,الأشرف علاء الدين كجك,الأشرف علاء الدين كجك,
http://www.wikidata.org/entity/Q426869,محمود أبو السعود,محمود أبو السعود,
http://www.wikidata.org/entity/Q558305,المظفر ركن الدين بيبرس,المظفر ركن الدين بيبرس,
http://www.wikidata.org/entity/Q559176,رشدي أباظة,رشدي أباظة,http://commons.wikimedia.org/wiki/Special:FilePath/Rushdy%20Abaza.jpg
http://www.wikidata.org/entity/Q559176,رشدي أباظة,رشدي أباظة,http://commons.wikimedia.org/wiki/Special:FilePath/Rushdy%20Abaza.jpg
http://www.wikidata.org/entity/Q559232,عاطف محمد عبيد,عاطف عبيد,http://commons.wikimedia.org/wiki/Special:FilePath/Visit%20of%20Atef%20Ebeid%2C%20Egyptian%20Prime%20Minister%2C%20to%20the%20EC.jpg
http://www.wikidata.org/entity/Q17465570,الدوكالي الصيد,الدوكالي الصيد,
http://www.wikidata.org/entity/Q17523917,عبد السلام عمر,عبد السلام عمر,
http://www.wikidata.org/entity/Q18619125,عبد الحفيظ أربيش,عبد الحفيظ العريش,
http://www.wikidata.org/entity/Q18635506,إسماعيل التاجوري,إسماعيل التاجوري,http://commons.wikimedia.org/wiki/Special:FilePath/SC%20Wiener%20Neustadt%20vs.%20SCR%20Altach%2020141206%20%28044%29.jpg
http://www.wikidata.org/entity/Q18977950,الصادق الفيتوري,الصادق الفيتوري,
http://www.wikidata.org/entity/Q20720187,فرج البرعصي,فرج البرعصي,
http://www.wikidata.org/entity/Q21207938,حمدو الهوني,حمدو الهوني,
http://www.wikidata.org/entity/Q24006468,علاء الدين يونس,علاء الدين يونس,http://commons.wikimedia.org/wiki/Special:FilePath/Aladeen%20younes.jpg
http://www.wikidata.org/entity/Q25345116,سند الورفلي,سند الورفلي,http://commons.wikimedia.org/wiki/Special:FilePath/Sanad%20Al%20Warfali%202020.jpg
http://www.wikidata.org/entity/Q25449954,وليد التلاوي,وليد التلاوي,http://commons.wikimedia.org/wiki/Special:FilePath/%D9%88%D9%84%D9%8A%D8%AF%20%D8%A7%D9%84%D8%AA%D9%84%D8%A7%D9%88%D9%8A.jpeg
http://www.wikidata.org/entity/Q25451482,الشاب جيلاني,الشاب جيلاني,
http://www.wikidata.org/entity/Q25451795,مسعود الشيخي,مسعود الشيخي,
http://www.wikidata.org/entity/Q25452927,أيمن الشعافي,أيمن الشعافي,
http://www.wikidata.org/entity/Q25691756,دانيا بن ساسي,دانيا بن ساسي,
http://www.wikidata.org/entity/Q33296338,مؤيد اللافي,مؤيد اللافي,
http://www.wikidata.org/entity/Q35372205,أنيس سالتو,أنيس سالتو,
